               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068327,            0.020035,            0.011946,             0.85959,             0.75382,             0.82005,             0.46141,            0.030366,           0.0098952,           0.0028255,            0.070006,           0.0033327,           0.0033327
                   1,            0.046195,            0.016428,           0.0046643,             0.93278,             0.79691,             0.87045,             0.52238,            0.026954,           0.0083385,           0.0023851,            0.039346,           0.0060061,           0.0060061
                   2,            0.042067,            0.015506,           0.0038469,             0.93125,             0.82673,             0.89105,             0.54554,            0.025294,           0.0079218,            0.002172,            0.008026,           0.0080195,           0.0080195
                   3,            0.038009,            0.014976,           0.0034059,             0.94219,             0.84366,              0.9019,             0.57553,            0.023494,           0.0074204,           0.0016546,             0.00703,             0.00703,             0.00703
                   4,            0.035903,            0.014323,           0.0029628,             0.93075,             0.85708,             0.90988,             0.58433,            0.022888,            0.007229,           0.0015586,             0.00703,             0.00703,             0.00703
                   5,            0.033534,            0.013721,           0.0025956,             0.94142,             0.86706,             0.91678,              0.6063,            0.021806,           0.0069273,           0.0014784,             0.00604,             0.00604,             0.00604
                   6,            0.031928,            0.013162,           0.0024329,             0.95432,             0.87111,             0.92205,               0.616,             0.02112,            0.006724,           0.0013507,             0.00505,             0.00505,             0.00505
                   7,             0.03063,            0.012908,            0.002257,             0.95011,              0.8705,             0.92181,             0.61972,            0.020654,           0.0066571,           0.0012909,             0.00406,             0.00406,             0.00406
                   8,            0.029849,            0.012428,           0.0021513,              0.9425,             0.88361,             0.92704,             0.63021,            0.020367,            0.006572,            0.001272,             0.00307,             0.00307,             0.00307
                   9,            0.028954,            0.012223,            0.001959,             0.94666,             0.87992,             0.92903,             0.63606,            0.019822,           0.0064287,           0.0012122,             0.00208,             0.00208,             0.00208
